"group_uid","player.treatment","subsession.round_number","manager","player.price"
"MnoWe_1__g1","M_no_W_exp",16,"M_no",50
"MnoWe_1__g2","M_no_W_exp",16,"M_no",55
"MnoWe_1__g3","M_no_W_exp",16,"M_no",95
"MnoWe_1__g4","M_no_W_exp",16,"M_no",100
"MnoWe_1__g5","M_no_W_exp",16,"M_no",139
"MnoWe_2__g1","M_no_W_exp",16,"M_no",106
"MnoWe_2__g2","M_no_W_exp",16,"M_no",220
"MnoWe_2__g3","M_no_W_exp",16,"M_no",60
"MnoWe_2__g4","M_no_W_exp",16,"M_no",30
"MnoWe_2__g5","M_no_W_exp",16,"M_no",245
"bothno_1__g1","M_no_W_no",17,"M_no",150
"bothno_1__g2","M_no_W_no",17,"M_no",112
"bothno_1__g3","M_no_W_no",17,"M_no",215
"bothno_1__g4","M_no_W_no",17,"M_no",80
"bothno_1__g5","M_no_W_no",17,"M_no",150
"botno_2__g1","M_no_W_no",17,"M_no",190
"botno_2__g2","M_no_W_no",17,"M_no",100
"botno_2__g3","M_no_W_no",17,"M_no",156
"botno_2__g4","M_no_W_no",17,"M_no",203
"botno_2__g5","M_no_W_no",17,"M_no",300
"MnoWe_1__g1","M_no_W_exp",17,"M_no",50
"MnoWe_1__g2","M_no_W_exp",17,"M_no",50
"MnoWe_1__g3","M_no_W_exp",17,"M_no",90
"MnoWe_1__g4","M_no_W_exp",17,"M_no",90
"MnoWe_1__g5","M_no_W_exp",17,"M_no",119
"MnoWe_2__g1","M_no_W_exp",17,"M_no",107
"MnoWe_2__g2","M_no_W_exp",17,"M_no",230
"MnoWe_2__g3","M_no_W_exp",17,"M_no",60
"MnoWe_2__g4","M_no_W_exp",17,"M_no",30
"MnoWe_2__g5","M_no_W_exp",17,"M_no",245
"bothno_1__g1","M_no_W_no",18,"M_no",139
"bothno_1__g2","M_no_W_no",18,"M_no",113
"bothno_1__g3","M_no_W_no",18,"M_no",200
"bothno_1__g4","M_no_W_no",18,"M_no",75
"bothno_1__g5","M_no_W_no",18,"M_no",150
"botno_2__g1","M_no_W_no",18,"M_no",175
"botno_2__g2","M_no_W_no",18,"M_no",90
"botno_2__g3","M_no_W_no",18,"M_no",157
"botno_2__g4","M_no_W_no",18,"M_no",204
"botno_2__g5","M_no_W_no",18,"M_no",300
"MnoWe_1__g1","M_no_W_exp",18,"M_no",50
"MnoWe_1__g2","M_no_W_exp",18,"M_no",50
"MnoWe_1__g3","M_no_W_exp",18,"M_no",86
"MnoWe_1__g4","M_no_W_exp",18,"M_no",81
"MnoWe_1__g5","M_no_W_exp",18,"M_no",120
"MnoWe_2__g1","M_no_W_exp",18,"M_no",110
"MnoWe_2__g2","M_no_W_exp",18,"M_no",235
"MnoWe_2__g3","M_no_W_exp",18,"M_no",50
"MnoWe_2__g4","M_no_W_exp",18,"M_no",28
"MnoWe_2__g5","M_no_W_exp",18,"M_no",245
"bothno_1__g1","M_no_W_no",19,"M_no",150
"bothno_1__g2","M_no_W_no",19,"M_no",114
"bothno_1__g3","M_no_W_no",19,"M_no",188
"bothno_1__g4","M_no_W_no",19,"M_no",70
"bothno_1__g5","M_no_W_no",19,"M_no",150
"botno_2__g1","M_no_W_no",19,"M_no",155
"botno_2__g2","M_no_W_no",19,"M_no",100
"botno_2__g3","M_no_W_no",19,"M_no",159
"botno_2__g4","M_no_W_no",19,"M_no",204
"botno_2__g5","M_no_W_no",19,"M_no",313
"MnoWe_1__g1","M_no_W_exp",19,"M_no",20
"MnoWe_1__g2","M_no_W_exp",19,"M_no",50
"MnoWe_1__g3","M_no_W_exp",19,"M_no",80
"MnoWe_1__g4","M_no_W_exp",19,"M_no",76
"MnoWe_1__g5","M_no_W_exp",19,"M_no",140
"MnoWe_2__g1","M_no_W_exp",19,"M_no",112
"MnoWe_2__g2","M_no_W_exp",19,"M_no",225
"MnoWe_2__g3","M_no_W_exp",19,"M_no",50
"MnoWe_2__g4","M_no_W_exp",19,"M_no",20
"MnoWe_2__g5","M_no_W_exp",19,"M_no",245
"bothno_1__g1","M_no_W_no",20,"M_no",200
"bothno_1__g2","M_no_W_no",20,"M_no",115
"bothno_1__g3","M_no_W_no",20,"M_no",150
"bothno_1__g4","M_no_W_no",20,"M_no",65
"bothno_1__g5","M_no_W_no",20,"M_no",150
"botno_2__g1","M_no_W_no",20,"M_no",140
"botno_2__g2","M_no_W_no",20,"M_no",97
"botno_2__g3","M_no_W_no",20,"M_no",161
"botno_2__g4","M_no_W_no",20,"M_no",200
"botno_2__g5","M_no_W_no",20,"M_no",309
"MnoWe_1__g1","M_no_W_exp",20,"M_no",1
"MnoWe_1__g2","M_no_W_exp",20,"M_no",45
"MnoWe_1__g3","M_no_W_exp",20,"M_no",70
"MnoWe_1__g4","M_no_W_exp",20,"M_no",70
"MnoWe_1__g5","M_no_W_exp",20,"M_no",105
"MnoWe_2__g1","M_no_W_exp",20,"M_no",115
"MnoWe_2__g2","M_no_W_exp",20,"M_no",225
"MnoWe_2__g3","M_no_W_exp",20,"M_no",45
"MnoWe_2__g4","M_no_W_exp",20,"M_no",30
"MnoWe_2__g5","M_no_W_exp",20,"M_no",245
"MnoWe_1__g1","M_no_W_exp",11,"W_exp",400
"MnoWe_1__g2","M_no_W_exp",11,"W_exp",150
"MnoWe_1__g3","M_no_W_exp",11,"W_exp",380
"MnoWe_1__g4","M_no_W_exp",11,"W_exp",350
"MnoWe_1__g5","M_no_W_exp",11,"W_exp",200
"MnoWe_2__g1","M_no_W_exp",11,"W_exp",200
"MnoWe_2__g2","M_no_W_exp",11,"W_exp",300
"MnoWe_2__g3","M_no_W_exp",11,"W_exp",450
"MnoWe_2__g4","M_no_W_exp",11,"W_exp",590
"MnoWe_2__g5","M_no_W_exp",11,"W_exp",350
"bothe_1__g1","M_exp_W_exp",11,"W_exp",160
"bothe_1__g2","M_exp_W_exp",11,"W_exp",300
"bothe_1__g3","M_exp_W_exp",11,"W_exp",290
"bothe_1__g4","M_exp_W_exp",11,"W_exp",275
"bothe_1__g5","M_exp_W_exp",11,"W_exp",298
"bothe_2__g1","M_exp_W_exp",11,"W_exp",250
"bothe_2__g2","M_exp_W_exp",11,"W_exp",180
