"participant.code","player.treatment","source_file","source_folder","group_uid","player.belief_inv","player.belief_price","player.belief_others_inv","player.belief_others_price","manager"
"i42igenv","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g1",160,495,175,505,"exp"
"2nkc141x","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g2",100,500,100,400,"exp"
"oqud1wxk","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g2",120,250,100,300,"exp"
"a6q31ex7","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g2",135,450,150,500,"exp"
"o60mnzij","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g2",100,400,100,400,"exp"
"bnt5i99k","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g2",150,400,150,400,"exp"
"zrywj9fx","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g3",70,400,100,400,"exp"
"i44g0thi","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g3",20,450,10,500,"exp"
"s9ryf5kv","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g3",40,300,50,400,"exp"
"oe31za5u","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g3",170,180,185,200,"exp"
"v86y9zyn","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g3",42,275,42,300,"exp"
"3p6ks3hb","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g4",140,500,120,430,"exp"
"y5kgtmfb","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g4",150,200,150,200,"exp"
"ebzeqzcf","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g4",100,480,100,450,"exp"
"pb6d6kev","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g4",110,210,150,250,"exp"
"m8xnbw73","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g4",100,300,150,300,"exp"
"an9ihpoe","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g5",40,450,38,420,"exp"
"rbyuqaqn","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g5",100,350,100,400,"exp"
"3pb269ab","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g5",150,500,180,500,"exp"
"ewpd3m8q","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g5",150,400,150,300,"exp"
"0tv7bd9u","M_exp_W_no","portfolio_2026-09-14.csv","MeWno_2","MeWno_2__g5",77,144,27,88,"exp"
"1c9g6x62","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g1",130,258,130,258,"exp"
"7fakiwkr","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g1",25,400,75,250,"exp"
"d4zd28hb","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g1",75,500,20,335,"exp"
"ja5c25rz","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g1",150,500,100,300,"exp"
"oedddvhv","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g1",150,450,150,450,"exp"
"7q18nnfd","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g2",150,480,130,500,"exp"
"03zce18q","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g2",140,160,140,160,"exp"
"wbs0fdl5","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g2",100,500,150,500,"exp"
"cqrngk2a","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g2",200,400,200,450,"exp"
"259xsu1c","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g2",150,430,120,480,"exp"
"xnss4pg0","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g3",80,300,100,302,"exp"
"5seuckqb","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g3",150,500,170,520,"exp"
"hdnqitby","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g3",120,500,150,500,"exp"
"ss3joq82","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g3",120,330,100,300,"exp"
"5wh6kzb3","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g3",70,200,100,200,"exp"
"kh2preog","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g4",150,400,150,500,"exp"
"ao798wr7","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g4",100,500,100,500,"exp"
"3788h5gm","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g4",150,350,120,400,"exp"
"dk85qrmf","M_no_W_exp","portfolio_2026-09-14.csv","MnoWe_1","MnoWe_1__g4",110,300,115,350,"exp"
