"group_uid","player.treatment","subsession.round_number","manager","player.price"
"MnoWe_2__g5","M_no_W_exp",8,"exp",351
"MeWno_1__g1","M_exp_W_no",8,"exp",230
"MeWno_1__g2","M_exp_W_no",8,"exp",421
"MeWno_1__g3","M_exp_W_no",8,"exp",310
"MeWno_1__g4","M_exp_W_no",8,"exp",203
"MeWno_1__g5","M_exp_W_no",8,"exp",364
"MeWno_2__g1","M_exp_W_no",8,"exp",90
"MeWno_2__g2","M_exp_W_no",8,"exp",350
"MeWno_2__g3","M_exp_W_no",8,"exp",268
"MeWno_2__g4","M_exp_W_no",8,"exp",350
"MeWno_2__g5","M_exp_W_no",8,"exp",450
"bothe_1__g1","M_exp_W_exp",8,"exp",220
"bothe_1__g2","M_exp_W_exp",8,"exp",350
"bothe_1__g3","M_exp_W_exp",8,"exp",230
"bothe_1__g4","M_exp_W_exp",8,"exp",450
"bothe_1__g5","M_exp_W_exp",8,"exp",298
"bothe_2__g1","M_exp_W_exp",8,"exp",325
"bothe_2__g2","M_exp_W_exp",8,"exp",165
"bothe_2__g3","M_exp_W_exp",8,"exp",144
"bothe_2__g4","M_exp_W_exp",8,"exp",125
"bothe_2__g5","M_exp_W_exp",8,"exp",135
"bothno_1__g1","M_no_W_no",9,"exp",175
"bothno_1__g2","M_no_W_no",9,"exp",270
"bothno_1__g3","M_no_W_no",9,"exp",565
"bothno_1__g4","M_no_W_no",9,"exp",289
"bothno_1__g5","M_no_W_no",9,"exp",440
"botno_2__g1","M_no_W_no",9,"exp",300
"botno_2__g2","M_no_W_no",9,"exp",233
"botno_2__g3","M_no_W_no",9,"exp",390
"botno_2__g4","M_no_W_no",9,"exp",350
"botno_2__g5","M_no_W_no",9,"exp",270
"MnoWe_1__g1","M_no_W_exp",9,"exp",475
"MnoWe_1__g2","M_no_W_exp",9,"exp",160
"MnoWe_1__g3","M_no_W_exp",9,"exp",421
"MnoWe_1__g4","M_no_W_exp",9,"exp",480
"MnoWe_1__g5","M_no_W_exp",9,"exp",150
"MnoWe_2__g1","M_no_W_exp",9,"exp",202
"MnoWe_2__g2","M_no_W_exp",9,"exp",300
"MnoWe_2__g3","M_no_W_exp",9,"exp",500
"MnoWe_2__g4","M_no_W_exp",9,"exp",599
"MnoWe_2__g5","M_no_W_exp",9,"exp",352
"MeWno_1__g1","M_exp_W_no",9,"exp",230
"MeWno_1__g2","M_exp_W_no",9,"exp",410
"MeWno_1__g3","M_exp_W_no",9,"exp",310
"MeWno_1__g4","M_exp_W_no",9,"exp",205
"MeWno_1__g5","M_exp_W_no",9,"exp",362
"MeWno_2__g1","M_exp_W_no",9,"exp",105
"MeWno_2__g2","M_exp_W_no",9,"exp",300
"MeWno_2__g3","M_exp_W_no",9,"exp",268
"MeWno_2__g4","M_exp_W_no",9,"exp",350
"MeWno_2__g5","M_exp_W_no",9,"exp",450
"bothe_1__g1","M_exp_W_exp",9,"exp",235
"bothe_1__g2","M_exp_W_exp",9,"exp",300
"bothe_1__g3","M_exp_W_exp",9,"exp",201
"bothe_1__g4","M_exp_W_exp",9,"exp",455
"bothe_1__g5","M_exp_W_exp",9,"exp",295
"bothe_2__g1","M_exp_W_exp",9,"exp",310
"bothe_2__g2","M_exp_W_exp",9,"exp",165
"bothe_2__g3","M_exp_W_exp",9,"exp",135
"bothe_2__g4","M_exp_W_exp",9,"exp",125
"bothe_2__g5","M_exp_W_exp",9,"exp",140
"bothno_1__g1","M_no_W_no",10,"exp",200
"bothno_1__g2","M_no_W_no",10,"exp",275
"bothno_1__g3","M_no_W_no",10,"exp",580
"bothno_1__g4","M_no_W_no",10,"exp",250
"bothno_1__g5","M_no_W_no",10,"exp",440
"botno_2__g1","M_no_W_no",10,"exp",295
"botno_2__g2","M_no_W_no",10,"exp",220
"botno_2__g3","M_no_W_no",10,"exp",390
"botno_2__g4","M_no_W_no",10,"exp",355
